DEPTH,GR,DPHI,NPHI,PEF,AT10,AT30,AT60,AT90,Rh,Rv,Rvsh,Rhsh,WNAME,WIDX,Csh_pred,Rss_pred,Rv_sim,Rh_sim,Rv_err,Rh_err,Csh_q,Rss_q,Rv_sim_q,Rh_sim_q,Rv_err_q,Rh_err_q
5488.57186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01506947,1.01863993,1.01890064,1.01780213,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5488.82186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01516012,1.0186436,1.01855881,1.01725661,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5489.07186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01525867,1.01864603,1.01818699,1.01665911,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5489.32186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01536533,1.01864758,1.01778816,1.01601121,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5489.57186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01547998,1.0186487,1.01736417,1.01531428,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5489.82186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01560256,1.01864955,1.01691683,1.01457024,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5490.07186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01573305,1.0186458,1.01644917,1.01378196,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5490.32186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01587148,1.01863766,1.01596791,1.01295347,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5490.57186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01601735,1.01862771,1.01546294,1.0120893,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5490.82186614,85.80749348,0.18168072,0.58231103,1.40689611,1.0161693,1.01861682,1.0149457,1.0111939,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5491.07186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01632587,1.01860658,1.01443028,1.01027133,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5491.32186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01648726,1.01859902,1.01391647,1.00932427,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5491.57186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01665574,1.01859811,1.01340395,1.00835392,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5491.82186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01683413,1.01861462,1.01288942,1.00736193,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5492.07186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01702411,1.01864477,1.01236644,1.00635129,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5492.32186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01722918,1.01868317,1.01182857,1.00532495,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5492.57186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01745476,1.01873157,1.01127257,1.00428527,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5492.82186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01770042,1.01879098,1.0106986,1.00320791,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5493.07186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01796514,1.01886405,1.01010873,1.00209531,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5493.32186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01825022,1.01895166,1.00950773,1.00096709,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5493.57186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01855683,1.01906497,1.00890529,0.99983716,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5493.82186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01888831,1.01921914,1.00833354,0.99863772,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5494.07186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01925794,1.01940635,1.00776182,0.99736483,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5494.32186614,85.80749348,0.18168072,0.58231103,1.40689611,1.01965102,1.01962627,1.00712423,0.99605094,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5494.57186614,85.80749348,0.18168072,0.58231103,1.40689611,1.02004775,1.01987943,1.00644578,0.99468954,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5494.82186614,85.80749348,0.18168072,0.58231103,1.40689611,1.02044077,1.02015625,1.00575212,0.9932737,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5495.07186614,85.80749348,0.18168072,0.58231103,1.40689611,1.02083983,1.0204973,1.00505586,0.99181176,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5495.32186614,85.80749348,0.18168072,0.58231103,1.40689611,1.02126868,1.02080836,1.0044198,0.9903353,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5495.57186614,85.80749348,0.18168072,0.58231103,1.40689611,1.02172308,1.02115388,1.00370727,0.9888965,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5495.82186614,85.80749348,0.18168072,0.58231103,1.40689611,1.02219495,1.02166677,1.00293484,0.98728157,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5496.07186614,85.80749348,0.18168072,0.58231103,1.40689611,1.02267794,1.02232118,1.00233462,0.9856987,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5496.32186614,85.80749348,0.18168072,0.58231103,1.40689611,1.02311939,1.02309261,1.00187914,0.98430649,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5496.57186614,85.80749348,0.18168072,0.58231103,1.40689611,1.02350792,1.02403956,1.00155282,0.9830578,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5496.82186614,85.80749348,0.18168072,0.58231103,1.40689611,1.02386921,1.02526398,1.00146262,0.98203778,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5497.07186614,85.80749348,0.18168072,0.58231103,1.40689611,1.02422596,1.02689441,1.00175737,0.9813939,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5497.32186614,85.80749348,0.18168072,0.58231103,1.40689611,1.02459074,1.02910804,1.00263214,0.98131494,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5497.57186614,85.80749348,0.18168072,0.58230703,1.40689611,1.02501109,1.03212106,1.00428604,0.98200218,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5497.82186614,85.80749348,0.18168072,0.58230027,1.40689611,1.02566126,1.0361429,1.00691525,0.98364978,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5498.07186614,85.80749348,0.18168072,0.58229351,1.40689611,1.02627198,1.04130971,1.01066393,0.98639929,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5498.32186614,85.80749348,0.18168072,0.58228676,1.40689611,1.02659033,1.04767688,1.01560241,0.99032201,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5498.57186614,85.80749348,0.18168072,0.58210296,1.40689611,1.02670262,1.05530525,1.02179949,0.99548676,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5498.82186614,85.80749348,0.18168072,0.58179775,1.40689611,1.02664157,1.06423001,1.02929625,1.00193651,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5499.07186614,85.80749348,0.18168072,0.58149255,1.40689611,1.02643801,1.07433486,1.03799186,1.00958035,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5499.32186614,85.80749348,0.18168072,0.58118734,1.40689611,1.02732052,1.08539429,1.04768169,1.01823032,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5499.57186614,85.80749348,0.18174522,0.57887438,1.40689611,1.0322876,1.09722046,1.05819437,1.02773064,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5499.82186614,85.80749348,0.18185394,0.57518469,1.40689611,1.0403378,1.11532076,1.07409796,1.04194782,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5500.07186614,85.80749348,0.18196266,0.571495,1.40689611,1.05999812,1.13976468,1.09622017,1.06224696,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5500.32186614,85.45014454,0.18207138,0.56780531,1.40689611,1.09381675,1.16043933,1.11500572,1.07939669,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5500.57186614,81.53283246,0.19681492,0.55674987,1.40689611,1.13707185,1.19259981,1.14457505,1.10681532,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5500.82186614,77.61552037,0.22159364,0.54064367,1.4173932,1.1902967,1.24042999,1.18886464,1.1483408,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5501.07186614,73.69820829,0.24637237,0.52453747,1.44194071,1.25585494,1.29745352,1.24156797,1.19777251,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5501.32186614,68.68658156,0.2711511,0.50843128,1.46648823,1.33541488,1.36412067,1.30304419,1.25543128,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5501.57186614,52.77322987,0.30210429,0.49262616,1.49103575,1.4297815,1.43598359,1.37062518,1.32014688,1.0,10.0,10.0,1.0,Synthetic1,3.0,1.0,2.8195221,9.93025734461844,1.0063075061585445,0.6974265538156033,0.6307506158544474,1.0,1.0,10.0,1.0,0.0,0.0
5501.82186614,36.85987818,0.33729137,0.4770275,1.50517473,1.53861124,1.5227441,1.44985937,1.3940697,2.36432155,2.36432155,10.0,1.0,Synthetic1,3.0,0.0070784106,2.180423,2.235236158594489,2.162529320319422,5.459722320997793,8.534889413860745,1.0,-4.1539580236099315e-17,10.0,1.0,322.954314314819,-57.704568568518106
5502.07186614,20.9465265,0.37247844,0.46142883,1.5053818,1.66015915,1.61889249,1.53710299,1.47505982,2.36432155,2.36432155,10.0,1.0,Synthetic1,3.0,0.0070784106,2.180423,2.235236158594489,2.162529320319422,5.459722320997793,8.534889413860745,1.0,-4.1539580236099315e-17,10.0,1.0,322.954314314819,-57.704568568518106
5502.32186614,6.47346658,0.40766551,0.44583017,1.50558886,1.79131072,1.71741229,1.6275498,1.56011741,2.36432155,2.36432155,10.0,1.0,Synthetic1,3.0,0.0070784106,2.180423,2.235236158594489,2.162529320319422,5.459722320997793,8.534889413860745,1.0,-4.1539580236099315e-17,10.0,1.0,322.954314314819,-57.704568568518106
5502.57186614,6.34880695,0.4244183,0.43652606,1.50579593,1.928306,1.81833045,1.72033976,1.64762654,2.36432155,2.36432155,10.0,1.0,Synthetic1,3.0,0.0070784106,2.180423,2.235236158594489,2.162529320319422,5.459722320997793,8.534889413860745,1.0,-4.1539580236099315e-17,10.0,1.0,322.954314314819,-57.704568568518106
5502.82186614,6.22414733,0.42853058,0.43153818,1.50591445,2.0687855,1.91800595,1.81240602,1.73480835,2.36432155,2.36432155,10.0,1.0,Synthetic1,3.0,0.0070784106,2.180423,2.235236158594489,2.162529320319422,5.459722320997793,8.534889413860745,1.0,-4.1539580236099315e-17,10.0,1.0,322.954314314819,-57.704568568518106
5503.07186614,6.09948771,0.43264286,0.4265503,1.50591445,2.21253541,2.01263342,1.90063644,1.81880935,2.36432155,2.36432155,10.0,1.0,Synthetic1,3.0,0.0070784106,2.180423,2.235236158594489,2.162529320319422,5.459722320997793,8.534889413860745,1.0,-4.1539580236099315e-17,10.0,1.0,322.954314314819,-57.704568568518106
5503.32186614,5.98619991,0.43675514,0.42156242,1.50591445,2.29948121,2.06649674,1.95459527,1.87178694,2.36432155,2.36432155,10.0,1.0,Synthetic1,3.0,0.0070784106,2.180423,2.235236158594489,2.162529320319422,5.459722320997793,8.534889413860745,1.0,-4.1539580236099315e-17,10.0,1.0,322.954314314819,-57.704568568518106
5503.57186614,5.98619991,0.43842938,0.41925413,1.50591445,2.34314454,2.11402832,2.00320338,1.92005644,2.36432155,2.36432155,10.0,1.0,Synthetic1,3.0,0.0070784106,2.180423,2.235236158594489,2.162529320319422,5.459722320997793,8.534889413860745,1.0,-4.1539580236099315e-17,10.0,1.0,322.954314314819,-57.704568568518106
5503.82186614,5.98619991,0.43843183,0.41878324,1.50591445,2.37215537,2.17507238,2.06401861,1.97975419,2.36432155,2.36432155,10.0,1.0,Synthetic1,3.0,0.0070784106,2.180423,2.235236158594489,2.162529320319422,5.459722320997793,8.534889413860745,1.0,-4.1539580236099315e-17,10.0,1.0,322.954314314819,-57.704568568518106
5504.07186614,5.98619991,0.43843429,0.41831236,1.50591445,2.38069888,2.22385107,2.11680252,2.03278915,2.36432155,2.36432155,10.0,1.0,Synthetic1,3.0,0.0070784106,2.180423,2.235236158594489,2.162529320319422,5.459722320997793,8.534889413860745,1.0,-4.1539580236099315e-17,10.0,1.0,322.954314314819,-57.704568568518106
5504.32186614,5.98619991,0.43843674,0.41784147,1.50591445,2.38119441,2.25546151,2.15429121,2.07200777,2.36432155,2.36432155,10.0,1.0,Synthetic1,3.0,0.0070784106,2.180423,2.235236158594489,2.162529320319422,5.459722320997793,8.534889413860745,1.0,-4.1539580236099315e-17,10.0,1.0,322.954314314819,-57.704568568518106
5504.57186614,5.98619991,0.43843774,0.41765024,1.50591445,2.38159839,2.28090084,2.18553478,2.10559203,2.36432155,2.36432155,10.0,1.0,Synthetic1,3.0,0.0070784106,2.180423,2.235236158594489,2.162529320319422,5.459722320997793,8.534889413860745,1.0,-4.1539580236099315e-17,10.0,1.0,322.954314314819,-57.704568568518106
5504.82186614,5.98619991,0.43843774,0.41765078,1.50591445,2.38174163,2.30552812,2.21659347,2.13935075,2.36432155,2.36432155,10.0,1.0,Synthetic1,3.0,0.0070784106,2.180423,2.235236158594489,2.162529320319422,5.459722320997793,8.534889413860745,1.0,-4.1539580236099315e-17,10.0,1.0,322.954314314819,-57.704568568518106
5505.07186614,5.98619991,0.43843774,0.41765132,1.50591445,2.38175676,2.32836584,2.24641607,2.17230669,2.36432155,2.36432155,10.0,1.0,Synthetic1,3.0,0.0070784106,2.180423,2.235236158594489,2.162529320319422,5.459722320997793,8.534889413860745,1.0,-4.1539580236099315e-17,10.0,1.0,322.954314314819,-57.704568568518106
5505.32186614,5.98619991,0.43843774,0.41765186,1.50591445,2.38183288,2.34829114,2.27378866,2.20326968,2.36432155,2.36432155,10.0,1.0,Synthetic1,3.0,0.0070784106,2.180423,2.235236158594489,2.162529320319422,5.459722320997793,8.534889413860745,1.0,-4.1539580236099315e-17,10.0,1.0,322.954314314819,-57.704568568518106
5505.57186614,5.98619991,0.43843774,0.41765208,1.50591445,2.38229156,2.36527494,2.29841464,2.23192196,2.36432155,2.36432155,10.0,1.0,Synthetic1,3.0,0.0070784106,2.180423,2.235236158594489,2.162529320319422,5.459722320997793,8.534889413860745,1.0,-4.1539580236099315e-17,10.0,1.0,322.954314314819,-57.704568568518106
5505.82186614,5.98619991,0.43843774,0.41765208,1.50591445,2.38308629,2.37915394,2.3199175,2.25783137,2.36432155,2.36432155,10.0,1.0,Synthetic1,3.0,0.0070784106,2.180423,2.235236158594489,2.162529320319422,5.459722320997793,8.534889413860745,1.0,-4.1539580236099315e-17,10.0,1.0,322.954314314819,-57.704568568518106
5506.07186614,5.98619991,0.43843774,0.41765208,1.50591445,2.3838029,2.38956654,2.3378051,2.28042754,2.36432155,2.36432155,10.0,1.0,Synthetic1,3.0,0.0070784106,2.180423,2.235236158594489,2.162529320319422,5.459722320997793,8.534889413860745,1.0,-4.1539580236099315e-17,10.0,1.0,322.954314314819,-57.704568568518106
5506.32186614,5.98619991,0.43843774,0.41765208,1.50591445,2.38438645,2.39706934,2.35230859,2.29981467,2.36432155,2.36432155,10.0,1.0,Synthetic1,3.0,0.0070784106,2.180423,2.235236158594489,2.162529320319422,5.459722320997793,8.534889413860745,1.0,-4.1539580236099315e-17,10.0,1.0,322.954314314819,-57.704568568518106
5506.57186614,5.98619991,0.43843774,0.41765208,1.50591445,2.38497391,2.40229286,2.36387719,2.3163011,2.36432155,2.36432155,10.0,1.0,Synthetic1,3.0,0.0070784106,2.180423,2.235236158594489,2.162529320319422,5.459722320997793,8.534889413860745,1.0,-4.1539580236099315e-17,10.0,1.0,322.954314314819,-57.704568568518106
5506.82186614,5.98619991,0.43843774,0.41765208,1.50591445,2.38559855,2.40579631,2.37298755,2.33022923,2.36432155,2.36432155,10.0,1.0,Synthetic1,3.0,0.0070784106,2.180423,2.235236158594489,2.162529320319422,5.459722320997793,8.534889413860745,1.0,-4.1539580236099315e-17,10.0,1.0,322.954314314819,-57.704568568518106
5507.07186614,5.98619991,0.43843774,0.41765208,1.50591445,2.38625592,2.40816095,2.3800904,2.3419266,2.36432155,2.36432155,10.0,1.0,Synthetic1,3.0,0.0070784106,2.180423,2.235236158594489,2.162529320319422,5.459722320997793,8.534889413860745,1.0,-4.1539580236099315e-17,10.0,1.0,322.954314314819,-57.704568568518106
